facilityId,serviceLineLevel3,orderId   ,lineItemId,sku               ,masterMaterialId,batchId   ,deviationNumber,deviationDescription                                                                                                      ,deviationTypeName                ,deviationStatusName         ,deviationSeverityName,deviationOpenedDate,deviationClosedDate,deviationProjectedCloseDate,START_DATE  ,END_DATE    ,ACTIVE,CHANGE,DATE_SENT                    ,ID,,,,
1013      ,Steriles         ,0000053105,000010    ,000000000000362987,7000000178      ,AVZVA498C ,"699,842        ","OOS IPC Value for \""Osmolality of the sucrose buffer\"" on Zoster Formulation batch AVZVA498A step 3C.                     ",OOS/OOT/E(U)M                    ,Closed - Done               ,?                    ,2023.12.10         ,2023.12.29         ,2024.01.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013      ,Steriles         ,0000051749,000010    ,000000000000510361,5000000736      ,LM038M1301,"559,125        ","Holding time exceeding LAF cart loading and transfer of trays into lyo KEY WORD: HT process, Equipment malfunction        ",Deviation                        ,Closed - Done               ,Major                ,2023.05.03         ,2023.07.14         ,2023.06.26                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031      ,Steriles         ,0000069727,000010    ,026656            ,5000000932      ,AP7677B   ,"121,637        ",Remdesivir batch AP7677B exceeded the Steriles Inspection critical defect limits                                          ,Deviation                        ,Closed - Done               ,Minor                ,2021.06.07         ,2021.06.29         ,2021.07.07                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031      ,Steriles         ,0000069727,000010    ,026656            ,5000000932      ,AP7677B   ,"107,222        ",VL2 shelf 6 packet 2 not loaded with vials. - Steriles                                                                    ,Deviation                        ,Closed - Done               ,Major                ,2021.05.10         ,2021.12.07         ,2021.06.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013      ,Steriles         ,0000046288,000010    ,000000000000362050,7000000265      ,L12       ,"546,714        ",VI Limits Exceeded                                                                                                        ,Deviation                        ,Closed - Done               ,Major                ,2023.04.14         ,2023.05.30         ,2023.05.14                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013      ,Steriles         ,0000046299,000010    ,000000000000362930,7000000279      ,10052     ,"417,250        ",Defective vial - cracked vial found during CCI test on Remdesivir batch 10052                                             ,Deviation                        ,Closed - Done               ,Major                ,2022.10.13         ,2023.05.17         ,2023.03.31                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013      ,Steriles         ,0000046299,000010    ,000000000000362930,7000000279      ,10052     ,"392,236        ","OOS for Container-Closure Integrity test in finished batches 10052, 10053 and 10054 of Remdesivir for injection 100 mg    ",OOS/OOT/E(U)M                    ,Closed - Done               ,Major                ,2022.09.02         ,2023.05.22         ,2022.10.02                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013      ,Steriles         ,0000046299,000010    ,000000000000362930,7000000279      ,10052     ,"479,372        ",Incorrect part number on the label fro Remdesivir product                                                                 ,Deviation                        ,Closed - Done               ,Major                ,2023.01.16         ,2023.02.16         ,2023.02.15                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031      ,Steriles         ,0000072660,000010    ,026656            ,5000000932      ,AS4477D   ,"426,481        ",Segregation Documentation Placed on Wrong Pallet- Remdesivir lot AS4477D/E                                                ,Deviation                        ,Closed - Done               ,Major                ,2022.10.27         ,2023.03.17         ,2022.11.26                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031      ,Steriles         ,0000072660,000010    ,026656            ,5000000932      ,AS4477D   ,"368,706        ","Steriles, Line 1 - Particles discovered on the line during production - Remdesivir AS4477A                                ",Deviation                        ,Closed - Done               ,Major                ,2022.07.28         ,2022.11.14         ,2022.08.27                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031      ,Steriles         ,0000072660,000010    ,026656            ,5000000932      ,AS4477D   ,"414,252        ","Steriles, Line 1 - Trayloading rejects not documented in FWO for Remdesivir AS4477A                                       ",Deviation                        ,Closed - Done               ,Major                ,2022.10.07         ,2023.03.10         ,2022.11.06                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031      ,Steriles         ,0000070096,000010    ,026634            ,5000000810      ,AQ1247B   ,"123,614        ",Exceeded Non-Critical Defect Limit - Remdesivir lot AQ1247B                                                               ,Deviation                        ,Closed - Done               ,Minor                ,2021.06.10         ,2021.09.08         ,2021.07.10                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003      ,OSD              ,0000042595,000010    ,000000004000002916,5000001016      ,CDHWY     ,"183,124        ","Planned DR to use expired FTC/TDF blend (lots CDHXT, CDGFG, and CDHXX) to manufacture Complera                            ",Planned                          ,Closed - Done               ,Major                ,2019.11.27         ,2020.04.17         ,2019.12.27                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013      ,Steriles         ,0000050589,000010    ,000000000000362281,7000000098      ,0010621782,"580,340        ",Microbiological environmental monitoring excursion Sterile Area 4 -  personnel                                            ,OOS/OOT/E(U)M                    ,Closed - Done               ,Major                ,2023.06.06         ,2023.07.06         ,2023.07.06                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1005      ,OSD              ,0000055355,000010    ,000000003000004486,7000000413      ,CMFBV     ,"298,572        ","Foreign material was observed during granulation of OTEZLA (APREMILAST) 30MG FCT BULK PKG, batch# CMFBV.                  ",Deviation                        ,Closed - Done               ,Major                ,2022.04.05         ,2022.06.30         ,2022.05.05                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013      ,Steriles         ,0000051739,000010    ,000000000000362987,7000000178      ,AVZVA457A ,"649,354        ",Chamber vacuum set point not reached during evacuation step                                                               ,Deviation                        ,Closed - Done               ,Major                ,2023.09.25         ,2023.11.29         ,2023.11.23                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
