ï»¿facilityId,serviceLineLevel3,orderId,lineItemId,sku,masterMaterialId,batchId,deviationNumber,deviationDescription,deviationTypeName,deviationStatusName,deviationSeverityName,deviationOpenedDate,deviationClosedDate,deviationProjectedCloseDate,START_DATE,END_DATE,ACTIVE,CHANGE,DATE_SENT,ID,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1013,Steriles         ,53105,10,362987,7000000178,AVZVA498C ,"699,842        ","llh rkx eZOFV ULI \""lHNLOZORGB LU GSV HFXILHV YFUUVI\"" LM aLHGVI uLINFOZGRLM YZGXS zeaez501z HGVK 6x.                     ",llh/llg/v(f)n                    ,xOLHVW - wLMV               ,?                    ,2023.12.10         ,2023.12.29         ,2024.01.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,51749,10,510361,5000000736,LM038M1301,"559,125        ","sLOWRMT GRNV VCXVVWRMT ozu XZIG OLZWRMT ZMW GIZMHUVI LU GIZBH RMGL OBL pvb dliw: sg KILXVHH, vJFRKNVMG NZOUFMXGRLM        ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.05.03         ,2023.07.14         ,2023.06.26                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,69727,10,26656,5000000932,AP7677B   ,"121,637        ",iVNWVHRERI YZGXS zk2322y VCXVVWVW GSV hGVIROVH rMHKVXGRLM XIRGRXZO WVUVXG ORNRGH                                          ,wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2021.06.07         ,2021.06.29         ,2021.07.07                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,69727,10,26656,5000000932,AP7677B   ,"107,222        ",eo7 HSVOU 3 KZXPVG 7 MLG OLZWVW DRGS ERZOH. - hGVIROVH                                                                    ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2021.05.10         ,2021.12.07         ,2021.06.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,46288,10,362050,7000000265,L12       ,"546,714        ",er oRNRGH vCXVVWVW                                                                                                        ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.04.14         ,2023.05.30         ,2023.05.14                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,46299,10,362930,7000000279,10052     ,"417,250        ",wVUVXGREV ERZO - XIZXPVW ERZO ULFMW WFIRMT xxr GVHG LM iVNWVHRERI YZGXS 89947                                             ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.10.13         ,2023.05.17         ,2023.03.31                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,46299,10,362930,7000000279,10052     ,"392,236        ","llh ULI xLMGZRMVI-xOLHFIV rMGVTIRGB GVHG RM URMRHSVW YZGXSVH 89947, 89946 ZMW 89945 LU iVNWVHRERI ULI RMQVXGRLM 899 NT    ",llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nZQLI                ,2022.09.02         ,2023.05.22         ,2022.10.02                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,46299,10,362930,7000000279,10052     ,"479,372        ",rMXLIIVXG KZIG MFNYVI LM GSV OZYVO UIL iVNWVHRERI KILWFXG                                                                 ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.01.16         ,2023.02.16         ,2023.02.15                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72660,10,26656,5000000932,AS4477D   ,"426,481        ",hVTIVTZGRLM wLXFNVMGZGRLM kOZXVW LM dILMT kZOOVG- iVNWVHRERI OLG zh5522w/v                                                ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.10.27         ,2023.03.17         ,2022.11.26                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72660,10,26656,5000000932,AS4477D   ,"368,706        ","hGVIROVH, oRMV 8 - kZIGRXOVH WRHXLEVIVW LM GSV ORMV WFIRMT KILWFXGRLM - iVNWVHRERI zh5522z                                ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.07.28         ,2022.11.14         ,2022.08.27                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72660,10,26656,5000000932,AS4477D   ,"414,252        ","hGVIROVH, oRMV 8 - gIZBOLZWRMT IVQVXGH MLG WLXFNVMGVW RM udl ULI iVNWVHRERI zh5522z                                       ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.10.07         ,2023.03.10         ,2022.11.06                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,70096,10,26634,5000000810,AQ1247B   ,"123,614        ",vCXVVWVW mLM-xIRGRXZO wVUVXG oRNRG - iVNWVHRERI OLG zj8752y                                                               ,wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2021.06.10         ,2021.09.08         ,2021.07.10                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,42595,10,4000002916,5000001016,CDHWY     ,"183,124        ","kOZMMVW wi GL FHV VCKRIVW ugx/gwu YOVMW (OLGH xwscg, xwtut, ZMW xwscc) GL NZMFUZXGFIV xLNKOVIZ                            ",kOZMMVW                          ,xOLHVW - wLMV               ,nZQLI                ,2019.11.27         ,2020.04.17         ,2019.12.27                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
